,lits_rea,lits_rea_occ,lits_rea_disp,lits_o2,lits_o2_occ,lits_o2_disp
2022-03-05,339.0,115.0,224.0,2451.0,380.0,2071.0
2022-03-06,339.0,115.0,224.0,2451.0,384.0,2067.0
2022-03-07,339.0,111.0,228.0,2451.0,350.0,2101.0
2022-03-08,339.0,97.0,242.0,2451.0,333.0,2118.0
2022-03-09,339.0,87.0,252.0,2451.0,314.0,2137.0
2022-03-10,339.0,86.0,253.0,2451.0,303.0,2148.0
2022-03-11,339.0,83.0,256.0,2451.0,299.0,2152.0
2022-03-12,339.0,77.0,262.0,2451.0,293.0,2158.0
2022-03-13,339.0,78.0,261.0,2451.0,301.0,2150.0
2022-03-14,339.0,72.0,267.0,2451.0,285.0,2166.0
2022-03-15,339.0,74.0,265.0,2451.0,257.0,2194.0
2022-03-16,300.0,77.0,223.0,2094.0,262.0,1832.0
2022-03-17,299.0,80.0,219.0,2094.0,256.0,1838.0
2022-03-18,299.0,80.0,219.0,2094.0,246.0,1848.0
2022-03-19,299.0,75.0,224.0,2094.0,244.0,1850.0
2022-03-20,299.0,74.0,225.0,2094.0,244.0,1850.0
2022-03-21,299.0,66.0,233.0,2094.0,233.0,1861.0
2022-03-22,299.0,66.0,233.0,2095.0,239.0,1856.0
2022-03-23,299.0,65.0,234.0,2095.0,216.0,1879.0
2022-03-24,299.0,66.0,233.0,2095.0,191.0,1904.0
2022-03-25,299.0,62.0,237.0,2095.0,168.0,1927.0
2022-03-26,299.0,58.0,241.0,2095.0,156.0,1939.0
2022-03-27,299.0,57.0,242.0,2095.0,155.0,1940.0
2022-03-28,299.0,54.0,245.0,2095.0,147.0,1948.0
2022-03-29,299.0,49.0,250.0,2095.0,134.0,1961.0
2022-03-30,299.0,43.0,256.0,2095.0,130.0,1965.0
2022-03-31,299.0,35.0,264.0,2095.0,126.0,1969.0
2022-04-01,299.0,37.0,262.0,2095.0,126.0,1969.0
2022-04-02,299.0,36.0,263.0,2095.0,116.0,1979.0
2022-04-03,299.0,36.0,263.0,2095.0,117.0,1978.0
2022-04-04,299.0,33.0,266.0,2095.0,101.0,1994.0
2022-04-05,299.0,30.0,269.0,2095.0,95.0,2000.0
2022-04-06,299.0,28.0,271.0,2095.0,97.0,1998.0
2022-04-07,299.0,28.0,271.0,2095.0,93.0,2002.0
2022-04-08,299.0,27.0,272.0,2095.0,82.0,2013.0
2022-04-09,299.0,25.0,274.0,2095.0,82.0,2013.0
2022-04-10,299.0,25.0,274.0,2095.0,82.0,2013.0
2022-04-11,299.0,20.0,279.0,2095.0,72.0,2023.0
2022-04-12,299.0,20.0,279.0,2095.0,54.0,2041.0
2022-04-13,299.0,17.0,282.0,2095.0,54.0,2041.0
2022-04-14,299.0,19.0,280.0,2095.0,56.0,2039.0
2022-04-15,299.0,19.0,280.0,2095.0,51.0,2044.0
2022-04-16,299.0,17.0,282.0,2095.0,48.0,2047.0
2022-04-17,299.0,17.0,282.0,2095.0,48.0,2047.0
2022-04-18,299.0,16.0,283.0,2095.0,49.0,2046.0
2022-04-19,293.0,14.0,279.0,2029.0,48.0,1981.0
2022-04-20,293.0,17.0,276.0,2029.0,43.0,1986.0
2022-04-21,293.0,16.0,277.0,2029.0,43.0,1986.0
2022-04-22,293.0,16.0,277.0,2029.0,44.0,1985.0
2022-04-23,293.0,15.0,278.0,2029.0,42.0,1987.0
2022-04-24,293.0,14.0,279.0,2029.0,44.0,1985.0
2022-04-25,293.0,14.0,279.0,2029.0,39.0,1990.0
2022-04-26,293.0,11.0,282.0,2029.0,38.0,1991.0
2022-04-27,293.0,12.0,281.0,2029.0,33.0,1996.0
2022-04-28,293.0,14.0,279.0,2029.0,34.0,1995.0
2022-04-29,293.0,15.0,278.0,2029.0,33.0,1996.0
2022-04-30,293.0,14.0,279.0,2028.0,21.0,2007.0
2022-05-01,293.0,13.0,280.0,2028.0,19.0,2009.0
2022-05-02,293.0,13.0,280.0,2028.0,19.0,2009.0
2022-05-03,293.0,13.0,280.0,2028.0,19.0,2009.0
2022-05-04,293.0,12.0,281.0,2029.0,19.0,2010.0
2022-05-05,293.0,13.0,280.0,2029.0,21.0,2008.0
2022-05-06,293.0,13.0,280.0,2029.0,26.0,2003.0
2022-05-07,293.0,14.0,279.0,2029.0,30.0,1999.0
2022-05-08,293.0,15.0,278.0,2029.0,29.0,2000.0
2022-05-09,293.0,15.0,278.0,2029.0,31.0,1998.0
2022-05-10,293.0,14.0,279.0,2029.0,27.0,2002.0
2022-05-11,293.0,12.0,281.0,2029.0,23.0,2006.0
2022-05-12,293.0,15.0,278.0,2029.0,23.0,2006.0
2022-05-13,293.0,16.0,277.0,2029.0,23.0,2006.0
2022-05-14,293.0,15.0,278.0,2029.0,22.0,2007.0
2022-05-15,293.0,15.0,278.0,2029.0,25.0,2004.0
2022-05-16,293.0,12.0,281.0,2029.0,29.0,2000.0
2022-05-17,293.0,12.0,281.0,2029.0,27.0,2002.0
2022-05-18,,,,,,
2022-05-19,293.0,12.0,281.0,2029.0,26.0,2003.0
2022-05-20,293.0,11.0,282.0,2029.0,32.0,1997.0
2022-05-21,293.0,11.0,282.0,2029.0,34.0,1995.0
2022-05-22,293.0,11.0,282.0,2029.0,32.0,1997.0
2022-05-23,293.0,11.0,282.0,2029.0,37.0,1992.0
2022-05-24,293.0,10.0,283.0,2029.0,32.0,1997.0
2022-05-25,293.0,9.0,284.0,2029.0,26.0,2003.0
2022-05-26,293.0,9.0,284.0,2029.0,30.0,1999.0
2022-05-27,293.0,13.0,280.0,2029.0,29.0,2000.0
2022-05-28,293.0,12.0,281.0,2029.0,26.0,2003.0
2022-05-29,293.0,12.0,281.0,2029.0,27.0,2002.0
2022-05-30,293.0,12.0,281.0,2029.0,20.0,2009.0
2022-05-31,293.0,11.0,282.0,2029.0,16.0,2013.0
2022-06-01,293.0,8.0,285.0,2029.0,13.0,2016.0
2022-06-02,293.0,10.0,283.0,2029.0,13.0,2016.0
2022-06-03,293.0,12.0,281.0,2029.0,15.0,2014.0
2022-06-04,293.0,12.0,281.0,2029.0,13.0,2016.0
2022-06-05,293.0,11.0,282.0,2029.0,13.0,2016.0
2022-06-06,230.0,11.0,219.0,1561.0,13.0,1548.0
2022-06-07,227.0,11.0,216.0,1449.0,15.0,1434.0
2022-06-08,227.0,12.0,215.0,1449.0,15.0,1434.0
2022-06-09,227.0,12.0,215.0,1449.0,20.0,1429.0
2022-06-10,227.0,14.0,213.0,1449.0,20.0,1429.0
2022-06-11,227.0,13.0,214.0,1449.0,24.0,1425.0
2022-06-12,227.0,15.0,212.0,1449.0,25.0,1424.0
2022-06-13,227.0,15.0,212.0,1449.0,28.0,1421.0
2022-06-14,227.0,13.0,214.0,1449.0,27.0,1422.0
2022-06-15,227.0,15.0,212.0,1449.0,26.0,1423.0
2022-06-16,227.0,14.0,213.0,1449.0,25.0,1424.0
2022-06-17,227.0,16.0,211.0,1449.0,25.0,1424.0
2022-06-18,227.0,18.0,209.0,1449.0,31.0,1418.0
2022-06-19,227.0,19.0,208.0,1449.0,31.0,1418.0
2022-06-20,227.0,20.0,207.0,1449.0,33.0,1416.0
2022-06-21,227.0,20.0,207.0,1439.0,37.0,1402.0
2022-06-22,228.0,20.0,208.0,1439.0,47.0,1392.0
2022-06-23,228.0,19.0,209.0,1439.0,61.0,1378.0
2022-06-24,228.0,22.0,206.0,1445.0,64.0,1381.0
2022-06-25,229.0,26.0,203.0,1450.0,72.0,1378.0
2022-06-26,229.0,26.0,203.0,1450.0,73.0,1377.0
2022-06-27,230.0,28.0,202.0,1450.0,86.0,1364.0
2022-06-28,230.0,22.0,208.0,1450.0,98.0,1352.0
2022-06-29,230.0,30.0,200.0,1450.0,110.0,1340.0
2022-06-30,230.0,29.0,201.0,1451.0,129.0,1322.0
2022-07-01,231.0,31.0,200.0,1451.0,130.0,1321.0
2022-07-02,231.0,29.0,202.0,1452.0,142.0,1310.0
2022-07-03,231.0,30.0,201.0,1452.0,145.0,1307.0
2022-07-04,234.0,29.0,205.0,1462.0,165.0,1297.0
2022-07-05,234.0,33.0,201.0,1466.0,183.0,1283.0
2022-07-06,235.0,39.0,196.0,1475.0,224.0,1251.0
2022-07-07,235.0,43.0,192.0,1476.0,231.0,1245.0
2022-07-08,235.0,44.0,191.0,1492.0,252.0,1240.0
2022-07-09,235.0,45.0,190.0,1492.0,252.0,1240.0
2022-07-10,235.0,45.0,190.0,1492.0,243.0,1249.0
2022-07-11,244.0,49.0,195.0,1494.0,253.0,1241.0
